"Business Name","Street","City","State","ZIP","Branch 1","Branch 1 Address","Branch 1 Proximity (miles)","Branch 2","Branch 2 Address","Branch 2 Proximity (miles)","Branch 3","Branch 3 Address","Branch 3 Proximity (miles)","Branch 4","Branch 4 Address","Branch 4 Proximity (miles)","Branch 5","Branch 5 Address","Branch 5 Proximity (miles)","Reps 1","Reps 1 Phone","Reps 1 Email","Reps 2","Reps 2 Phone","Reps 2 Email","Reps 3","Reps 3 Phone","Reps 3 Email","Reps 4","Reps 4 Phone","Reps 4 Email","Reps 5","Reps 5 Phone","Reps 5 Email","Manager"
"Sams West Inc.","1000 Kamehameha Hwy","Pearl City","HI","96782","Branch 3114","98-199 KAMEHAMEHA HIGHWAY STE C-12 AIEA HI 96701","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1131 Kuala St","Pearl City","HI","96782","Branch 3114","98-199 KAMEHAMEHA HIGHWAY STE C-12 AIEA HI 96701","3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","94-595 Kupuohi St","Waipahu","HI","96797","Branch 3114","98-199 KAMEHAMEHA HIGHWAY STE C-12 AIEA HI 96701","5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","3501 8th St Sw","Altoona","IA","50009","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","12","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","12","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","78","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","92","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","100","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","3015 Grand Ave","Ames","IA","50010","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","27","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","27","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","67","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","97","","","","","","","","","","","","","","","","","","",""
"Sams West Inc.","305 Airport Rd","Ames","IA","50010","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","24","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","24","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","68","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","97","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","534 S Duff Ave","Ames","IA","50010","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","25","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","25","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","68","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","97","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","101 115th St","Anamosa","IA","52205","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","24","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","35","Branch 2381","1798 Central Ave DUBUQUE IA 52001","42","Branch 1879","208 E. 50TH STREET Davenport IA 52806","53","Branch 7267","Moline IL","60","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1002 Se National Dr","Ankeny","IA","50021","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","7","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","7","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","79","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","97","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1905 E 7th St","Atlantic","IA","50022","Branch 1610","2906 S 24TH ST OMAHA NE 68108","51","Branch 1876","2906 S 24TH ST OMAHA NE 68108","51","Branch 7387","2906 S 24TH ST OMAHA NE 68108","51","Branch 7386","11209 JOHN GALT BLVD Omaha NE 68137","59","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","69","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1515 Se Marshall St","Boone","IA","50036","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","30","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","30","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","79","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2014 Kittyhawk Rd","Carroll","IA","51401","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","71","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","71","Branch 1878","323 W 7 th St SIOUX CITY IA 51103-5417","80","Branch 1610","2906 S 24TH ST OMAHA NE 68108","85","Branch 1876","2906 S 24TH ST OMAHA NE 68108","85","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","525 Brandilynn Blvd","Cedar Falls","IA","50613","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","0","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","52","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","75","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","86","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","86","","","","","","","","","","","","","","","",""
"Sams West Inc.","2605 Blairs Ferry Rd Ne","Cedar Rapids","IA","52402","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","6","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","28","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","50","Branch 2381","1798 Central Ave DUBUQUE IA 52001","61","Branch 1879","208 E. 50TH STREET Davenport IA 52806","65","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2645 Blairs Ferry Rd Ne","Cedar Rapids","IA","52402","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","6","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","28","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","50","Branch 2381","1798 Central Ave DUBUQUE IA 52001","61","Branch 1879","208 E. 50TH STREET Davenport IA 52806","65","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","3601 29th Ave Sw","Cedar Rapids","IA","52404","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","2","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","23","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","54","Branch 1879","208 E. 50TH STREET Davenport IA 52806","63","Branch 2381","1798 Central Ave DUBUQUE IA 52001","65","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","23148 Highway 5","Centerville","IA","52544","Branch 1875","5525 MERLE HAY RD, STE 140 JOHNSTON IA 50131","79","Branch 7385","5525 MERLE HAY RD, STE 145 JOHNSTON IA 50131","79","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","95","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2801 Commerce Dr","Coralville","IA","52241","Branch 8027","1930 S GILBERT ST IOWA CITY IA 52240","6","Branch 1874","2000 Wiley Blvd SW #104 CEDAR RAPIDS IA 52404","19","Branch 1879","208 E. 50TH STREET Davenport IA 52806","54","Branch 7267","Moline IL","60","Branch 1873","220 BRANDILYNN BLVD, SUITE C CEDAR FALLS IA 50613","69","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","3201 Manawa Centre Dr","Council Bluffs","IA","51501","Branch 1610","2906 S 24TH ST OMAHA NE 68108","5","Branch 1876","2906 S 24TH ST OMAHA NE 68108","5","Branch 7387","2906 S 24TH ST OMAHA NE 68108","5","Branch 7386","11209 JOHN GALT BLVD Omaha NE 68137","13","Branch 1611","3243 CORNHUSKER HWY, SUITE 2 LINCOLN NE 68504","51","","","","","","","","","","","","","","","",""
"Sams West Inc.","3221 Manawa Centre Dr","Council Bluffs","IA","51501","Branch 1610","2906 S 24TH ST OMAHA NE 68108","5","Branch 1876","2906 S 24TH ST OMAHA NE 68108","5","Branch 7387","2906 S 24TH ST OMAHA NE 68108","5","Branch 7386","11209 JOHN GALT BLVD Omaha NE 68137","13","Branch 1611","3243 CORNHUSKER HWY, SUITE 2 LINCOLN NE 68504","51","","","","","","","","","","","","","","","",""
