"Business Name","Street","City","State","ZIP","Branch 1","Branch 1 Address","Branch 1 Proximity (miles)","Branch 2","Branch 2 Address","Branch 2 Proximity (miles)","Branch 3","Branch 3 Address","Branch 3 Proximity (miles)","Branch 4","Branch 4 Address","Branch 4 Proximity (miles)","Branch 5","Branch 5 Address","Branch 5 Proximity (miles)","Reps 1","Reps 1 Phone","Reps 1 Email","Reps 2","Reps 2 Phone","Reps 2 Email","Reps 3","Reps 3 Phone","Reps 3 Email","Reps 4","Reps 4 Phone","Reps 4 Email","Reps 5","Reps 5 Phone","Reps 5 Email","Manager"
"Wal-Mart Stores Inc.","205 Deadrick Rd","Forrest City","AR","72335","Branch 1287","4338 AMERICAN WAY MEMPHIS TN 38118","49","Branch 2967","2235 COVINGTON PIKE, #6 MEMPHIS TN 38128","52","Branch 0842","5901 Shelby Oaks Dr STE 175 Memphis TN 38134","53","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","90","","Brian Carter 53.1 miles","901-553-5196","bcarter1@peopleready.com","","","","","","","","","","","","","Troy Rodgers","Patty Musolf",""
"Wal-Mart Stores Inc.","2425 Zero St","Fort Smith","AR","72901","Branch 8007","1800 C ST S FORT SMITH AR 72901","1","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","4900 Rogers Ave","Fort Smith","AR","72903","Branch 8007","1800 C ST S FORT SMITH AR 72901","2","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","53","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sams West Inc.","7700 Rogers Ave","Fort Smith","AR","72903","Branch 8007","1800 C ST S FORT SMITH AR 72901","4","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","8100 Zero St","Fort Smith","AR","72903","Branch 8007","1800 C ST S FORT SMITH AR 72901","3","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","8301 Rogers Ave","Fort Smith","AR","72903","Branch 8007","1800 C ST S FORT SMITH AR 72901","5","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","905 Gentry Blvd","Gentry","AR","72734","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","22","Branch 2721","1651 W 7TH SUITE #6 JOPLIN MO 64801-","56","Branch 8007","1800 C ST S FORT SMITH AR 72901","61","Branch 7257","902 S Boulder?Ste 200 Tulsa OK 74119","84","Branch 1175","902 SOUTH BOULDER TULSA OK 74119","84","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","800 1st Ave Se","Gravette","AR","72736","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","27","Branch 2721","1651 W 7TH SUITE #6 JOPLIN MO 64801-","46","Branch 8007","1800 C ST S FORT SMITH AR 72901","72","Branch 7381","940 S NATIONAL, UNITS A & D SPRINGFIELD MO 65804","84","Branch 1133","940 S NATIONAL AVE SUITE D SPRINGFIELD MO 65804","84","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","551 Liberty Dr","Greenwood","AR","72936","Branch 8007","1800 C ST S FORT SMITH AR 72901","14","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","161 N Walmart Dr","Harrison","AR","72601","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","58","Branch 7381","940 S NATIONAL, UNITS A & D SPRINGFIELD MO 65804","64","Branch 1133","940 S NATIONAL AVE SUITE D SPRINGFIELD MO 65804","67","Branch 8007","1800 C ST S FORT SMITH AR 72901","94","Branch 2721","1651 W 7TH SUITE #6 JOPLIN MO 64801-","98","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1500 Highway 25b","Heber Springs","AR","72543","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","56","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2400 N Hervey St","Hope","AR","71801","Branch 2177","Grand Prairie TX 75550","76","Branch 1242","1406 SOUTHERN AVE SHREVEPORT LA 71101-","81","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sams West Inc.","1368 Higdon Ferry Rd","Hot Springs","AR","71913","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","45","Branch 8007","1800 C ST S FORT SMITH AR 72901","99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1601 Albert Pike Rd","Hot Springs","AR","71913","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","46","Branch 8007","1800 C ST S FORT SMITH AR 72901","97","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","4019 Central Ave","Hot Springs","AR","71913","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","45","Branch 8007","1800 C ST S FORT SMITH AR 72901","100","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","3604 N Highway 7","Hot Springs Village","AR","71909","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","41","Branch 8007","1800 C ST S FORT SMITH AR 72901","92","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","121 Lee St","Huntsville","AR","72740","Branch 1221","3275 N. COLLEGE AVE. FAYETTEVILLE AR 72703","23","Branch 8007","1800 C ST S FORT SMITH AR 72901","62","Branch 7381","940 S NATIONAL, UNITS A & D SPRINGFIELD MO 65804","79","Branch 1133","940 S NATIONAL AVE SUITE D SPRINGFIELD MO 65804","81","Branch 2721","1651 W 7TH SUITE #6 JOPLIN MO 64801-","82","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","2000 John Harden Dr","Jacksonville","AR","72076","Branch 2132","1400 S. UNIVERSITY AVE LITTLE ROCK AR 72204","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wal-Mart Stores Inc.","1815 E Highland Dr","Jonesboro","AR","72401","Branch 2967","2235 COVINGTON PIKE, #6 MEMPHIS TN 38128","62","Branch 0842","5901 Shelby Oaks Dr STE 175 Memphis TN 38134","65","Branch 1287","4338 AMERICAN WAY MEMPHIS TN 38118","67","","","Brian Carter 64.6 miles","901-553-5196","bcarter1@peopleready.com","","","","","","","","","","","","","Troy Rodgers","Patty Musolf","","",""
"Wal-Mart Stores Inc.","1911 W Parker Rd","Jonesboro","AR","72404","Branch 2967","2235 COVINGTON PIKE, #6 MEMPHIS TN 38128","63","Branch 0842","5901 Shelby Oaks Dr STE 175 Memphis TN 38134","65","Branch 1287","4338 AMERICAN WAY MEMPHIS TN 38118","67","","","Brian Carter 64.8 miles","901-553-5196","bcarter1@peopleready.com","","","","","","","","","","","","","Troy Rodgers","Patty Musolf","","",""
